Transaction Date,Narration,Debit,Credit,Balance,Reference No,UTR,Mode,Counterparty
02/04/2025,OPENING BALANCE,,,125000.00,,,,
05/04/2025,SALARY ACME PRIVATE LIMITED,,125000.00,250000.00,SALAPR25,,NEFT,ACME PRIVATE LIMITED
06/04/2025,UPI/SELF TRANSFER/OWN HDFC ACCOUNT,50000.00,,200000.00,UPI10001,UPI10001,UPI,SELF
06/04/2025,UPI/SELF TRANSFER/OWN SBI ACCOUNT,,50000.00,250000.00,UPI10001,UPI10001,UPI,SELF
10/04/2025,SB INTEREST CREDIT,,842.00,250842.00,INTAPR25,,,
12/04/2025,DIVIDEND INFOSYS LIMITED,,1450.00,252292.00,DIV7788,,,INFOSYS LIMITED
15/04/2025,LIC PREMIUM PAYMENT,18000.00,,234292.00,LIC2244,,NEFT,LIC
20/04/2025,RAZORPAY MERCHANT SETTLEMENT,,42000.00,276292.00,RZP10022,,IMPS,RAZORPAY
22/04/2025,REFUND AMAZON ORDER,,2499.00,278791.00,AMZREF55,,UPI,AMAZON
25/04/2025,CASH DEPOSIT,,30000.00,308791.00,CASH25,,CASH,
